"","Comunidades Autonomas","Total2023Numero","Total2009Numero","Total2023Importe","Total2009Importe","PrecioTotalFincas2023","PrecioTotalFincas2009"
"1","01 Andalucía",10014,16971,1452336,2173812,145.030557219892,128.089800247481
"2","02 Aragón",1040,2354,127519,337159,122.614423076923,143.228122344945
"3","03 Asturias, Principado de",1191,2194,135972,269418,114.166246851385,122.797629899727
"4","04 Balears, Illes",1173,2417,440345,372352,375.400682011935,154.055440628879
"5","05 Canarias",1808,3863,222775,575373,123.216261061947,148.944602640435
"6","06 Cantabria",572,1353,65730,195920,114.912587412587,144.80413895048
"7","07 Castilla y León",1937,5895,268423,776008,138.576664945792,131.638337574215
"8","08 Castilla - La Mancha",2093,3358,229872,591113,109.828953655041,176.031268612269
"9","09 Cataluña",8511,10468,1617117,2054504,190.003172365174,196.265189147879
"10","10 Comunitat Valenciana",5911,11016,684559,1395771,115.811030282524,126.703976034858
"11","11 Extremadura",895,1785,96189,185059,107.47374301676,103.674509803922
"12","12 Galicia",1672,4416,195981,529870,117.213516746411,119.988677536232
"13","13 Madrid, Comunidad de",7042,9145,1768026,1989782,251.068730474297,217.581410606889
"14","14 Murcia, Región de",1375,4951,160969,714844,117.068363636364,144.383760856393
"15","15 Navarra, Comunidad Foral de",610,774,97174,156409,159.301639344262,202.078811369509
"16","16 País Vasco",2272,3379,441049,562030,194.123679577465,166.330275229358
"17","17 Rioja, La",262,1024,21681,128594,82.7519083969466,125.580078125
"18","18 Ceuta",65,134,7135,16901,109.769230769231,126.126865671642
"19","19 Melilla",58,45,6669,4447,114.98275862069,98.8222222222222
