"""Ind"",""Com_Aut"",""Num"""
"1,""01 Andalucía"",32734"
"2,""02 Aragón"",43538"
"3,""03 Asturias, Principado de"",39493"
"4,""04 Balears, Illes"",56099"
"5,""05 Canarias"",43778"
"6,""06 Cantabria"",50121"
"7,""08 Castilla - La Mancha"",36007"
"8,""07 Castilla y León"",37054"
"9,""09 Cataluña"",44001"
"10,""18 Ceuta"",41466"
"11,""10 Comunitat Valenciana"",29106"
"12,""11 Extremadura"",42046"
"13,""12 Galicia"",28228"
"14,""13 Madrid, Comunidad de"",40959"
"15,""19 Melilla"",29181"
"16,""14 Murcia, Región de"",35976"
"17,""15 Navarra, Comunidad Foral de"",28588"
"18,""16 País Vasco"",32137"
"19,""17 Rioja, La"",23377"
